,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
53,Urban,0.5,0.0,0.75,True,0.274,0.1736,0.3305,0.5503,0.0,inf,450.4920000000001,summer,285.72,Urban,False,0.2839,0.0,0.3143,0.5753,0.0,inf,-423.536,winter,353.28,0.9651285663966187,1.0636451210758946,0.8087635869565218
54,Urban,0.5,0.0,1.0,True,0.2766,0.1553,0.3479,0.5333,0.0,inf,386.316,transition,299.48,Urban,False,0.2866,0.0,0.3249,0.5599,0.0,inf,-465.216,winter,359.27,0.9651081646894626,0.8304013619479983,0.8335792022712724
55,Urban,0.5,0.25,0.0,True,0.2742,0.2185,0.4083,0.7066,0.2189,11.5839,666.404,transition,466.43,Urban,False,0.2891,0.0,0.4108,0.7119,0.2035,17.4237,608.74,summer,527.87,0.9484607402282946,1.0947268127607845,0.8836077064428742
56,Urban,0.5,0.25,0.25,True,0.2671,0.2157,0.4136,0.7132,0.2194,12.4585,617.648,transition,453.97,Urban,False,0.2838,0.0,0.417,0.7331,0.2035,18.6368,663.508,summer,566.74,0.9411557434813249,0.9308825213863284,0.8010198680170801
57,Urban,0.5,0.25,0.5,True,0.2636,0.2065,0.4134,0.6798,0.2192,12.4767,608.4200000000001,transition,428.94,Urban,False,0.2831,0.0,0.4197,0.7148,0.2035,18.6368,663.508,summer,559.94,0.931119745672907,0.9169746257769311,0.766046362110226
58,Urban,0.5,0.25,0.75,True,0.2664,0.189,0.4397,0.6611,0.2191,12.461,593.88,summer,414.63,Urban,False,0.2854,0.0,0.429,0.699,0.2035,18.6368,663.508,summer,555.73,0.9334267694463911,0.895060798061214,0.7460997246864485
59,Urban,0.5,0.25,1.0,True,0.2691,0.1729,0.4659,0.6401,0.2194,12.3553,558.96,summer,415.72,Urban,False,0.2878,0.0,0.4396,0.6819,0.2035,18.6368,663.508,summer,552.43,0.9350243224461432,0.8424314401634947,0.7525297322737724
60,Urban,0.5,0.5,0.0,True,0.2721,0.2021,0.4331,0.626,0.4651,4.7746,-722.496,winter,538.27,Urban,False,0.2902,0.0,0.4566,0.6393,0.4344,6.5855,-687.384,winter,575.89,0.9376292212267402,1.0510806186934813,0.9346750247443087
61,Urban,0.5,0.5,0.25,True,0.2666,0.2019,0.4376,0.6358,0.4659,5.1564,-720.28,winter,544.54,Urban,False,0.2851,0.0,0.462,0.6604,0.4345,7.0441,-692.628,winter,598.26,0.9351104875482287,1.0399233065945932,0.9102062648346873
62,Urban,0.5,0.5,0.5,True,0.2652,0.1926,0.4452,0.6086,0.4647,5.1661,-729.08,winter,552.25,Urban,False,0.2856,0.0,0.4678,0.6454,0.4345,7.0441,-692.628,winter,597.13,0.9285714285714285,1.0526285394179848,0.9248404869961315
