,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
54,Rural,0.5,0.0,1.0,True,0.264,0.1763,0.305,0.779,0.0,inf,163.348,summer,86.96,Rural,False,0.2922,0.0,0.2493,0.843,0.0,inf,109.4,summer,96.15,0.9034907597535934,1.493126142595978,0.9044201768070722
55,Rural,0.5,0.25,0.0,True,0.2458,0.2017,0.3461,1.0646,0.403,6.296,239.12,summer,138.42,Rural,False,0.285,0.0,0.3282,1.1611,0.4,19.0663,168.088,summer,151.52,0.8624561403508773,1.4225881681024226,0.9135427666314676
56,Rural,0.5,0.25,0.25,True,0.2445,0.1976,0.3528,1.0083,0.4039,6.5512,233.588,summer,137.25,Rural,False,0.2849,0.0,0.3322,1.1136,0.4006,19.1676,168.944,summer,150.56,0.8581958581958582,1.3826356662562744,0.911596705632306
57,Rural,0.5,0.25,0.5,True,0.2408,0.1775,0.3558,0.9553,0.4024,6.6925,177.00400000000002,summer,125.8,Rural,False,0.2842,0.0,0.3357,1.0666,0.4006,19.1676,168.944,summer,149.82,0.8472906403940886,1.0477081162988922,0.8396742757976239
58,Rural,0.5,0.25,0.75,True,0.2439,0.1589,0.3884,0.8997,0.4011,6.7425,262.128,summer,148.39,Rural,False,0.2884,0.0,0.3452,1.0205,0.4006,19.1676,168.944,summer,149.01,0.8457004160887657,1.5515673832749313,0.9958392054224549
59,Rural,0.5,0.25,1.0,True,0.2461,0.1462,0.4056,0.8763,0.4028,6.6599,273.56800000000004,summer,143.24,Rural,False,0.2912,0.0,0.3534,0.9854,0.4006,19.1676,168.944,summer,147.24,0.8451236263736264,1.619282128989488,0.9728334691659875
60,Rural,0.5,0.5,0.0,True,0.24,0.1685,0.3923,0.9354,0.8805,3.4623,227.72,summer,162.14,Rural,False,0.2869,0.0,0.3954,1.0496,0.8936,11.114,-208.032,winter,163.71,0.8365284071104915,1.0946392862636516,0.9904098711135543
61,Rural,0.5,0.5,0.25,True,0.2405,0.1638,0.4019,0.9037,0.8816,3.5503,213.992,summer,161.14,Rural,False,0.2867,0.0,0.3995,1.009,0.8951,11.1707,-207.532,winter,164.95,0.8388559469829089,1.031127729699516,0.9769020915428918
62,Rural,0.5,0.5,0.5,True,0.2386,0.162,0.4055,0.8531,0.8735,3.6943,293.144,summer,171.52,Rural,False,0.287,0.0,0.4046,0.9727,0.8951,11.1707,-207.8,winter,166.68,0.8313588850174217,1.4107025986525505,1.0290376769858411
63,Rural,0.5,0.5,0.75,True,0.2442,0.1451,0.4323,0.8206,0.8712,3.75,256.524,summer,175.0,Rural,False,0.2908,0.0,0.4141,0.9334,0.8951,11.1707,-218.8,winter,167.23,0.8397524071526823,1.1724131627056673,1.0464629552113855
